trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
168,False,"{'a': 0.5, 'e': 0.9859211602132415}",20,0,-88.68282012780608,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.9857534564380882}",25,0,-179.94417050474914,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
170,False,"{'a': 0.5, 'e': 0.9855847669095608}",25,0,-42.687640879928075,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.9854150917963483}",25,0,-130.7316011056788,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.9852444312681263}",20,0,-111.06165502781563,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
173,False,"{'a': 0.5, 'e': 0.9850727854955552}",25,0,-135.52095507482693,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
174,False,"{'a': 0.5, 'e': 0.9849001546502806}",25,0,-172.85876013334345,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
175,False,"{'a': 0.5, 'e': 0.9847265389049334}",20,0,-107.70805444160064,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.9845519384331295}",20,1,-35.82372984500125,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.984376353409469}",20,0,-80.02038691682995,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.9841997840095373}",30,0,-124.00020402110061,"{0: 18, 1: 6, 2: 3, 3: 2, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.9840222304099036}",30,16,-57.22554096336725,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.9838436927881214}",25,0,-4.883160941705004,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.9836641713227284}",20,0,-110.90448770942142,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
